PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p265d16d3-41e0-4995-af68-24706a4ca288,0,Bar chart,83.39765,80.0,1.7645378
p265d16d3-41e0-4995-af68-24706a4ca288,1,Bar chart,27.259672,20.0,2.8599043
p265d16d3-41e0-4995-af68-24706a4ca288,2,Bar chart,38.87936,40.0,0.16432264
p265d16d3-41e0-4995-af68-24706a4ca288,3,Bar chart,74.98228,70.0,2.3168054
p265d16d3-41e0-4995-af68-24706a4ca288,4,Bar chart,61.577087,60.0,0.6572626
p265d16d3-41e0-4995-af68-24706a4ca288,5,Radial Chart,86.31402,40.0,5.533377
p265d16d3-41e0-4995-af68-24706a4ca288,6,Radial Chart,89.10557,70.0,4.2559214
p265d16d3-41e0-4995-af68-24706a4ca288,7,Radial Chart,59.397305,45.0,3.8477268
p265d16d3-41e0-4995-af68-24706a4ca288,8,Radial Chart,93.19141,90.0,1.6741923
p265d16d3-41e0-4995-af68-24706a4ca288,9,Radial Chart,82.573364,65.0,4.1353183
p265d16d3-41e0-4995-af68-24706a4ca288,10,Bar chart,45.05421,45.0,0.0
p265d16d3-41e0-4995-af68-24706a4ca288,11,Bar chart,69.13571,75.0,2.551956
p265d16d3-41e0-4995-af68-24706a4ca288,12,Bar chart,81.70086,80.0,0.7662636
p265d16d3-41e0-4995-af68-24706a4ca288,13,Bar chart,36.50835,40.0,1.8039088
p265d16d3-41e0-4995-af68-24706a4ca288,14,Bar chart,25.462414,25.0,0.0
p265d16d3-41e0-4995-af68-24706a4ca288,15,Bar chart,73.522964,70.0,1.81679
p265d16d3-41e0-4995-af68-24706a4ca288,16,Bar chart,72.70626,80.0,2.8666587
p265d16d3-41e0-4995-af68-24706a4ca288,17,Bar chart,80.16525,70.0,3.3455741
p265d16d3-41e0-4995-af68-24706a4ca288,18,Bar chart,91.439674,90.0,0.52574253
p265d16d3-41e0-4995-af68-24706a4ca288,19,Bar chart,28.824514,33.0,2.061944
