PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,0,Bar chart,0.14469828,20.0,4.3114524
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,1,Bar chart,0.021404989,5.0,2.3157387
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,2,Bar chart,0.6104465,65.0,6.0087547
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,3,Bar chart,0.010834491,5.0,2.3187983
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,4,Bar chart,0.73284006,80.0,6.308651
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,5,Pie chart,0.45935786,50.0,5.630541
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,6,Pie chart,0.43826327,30.0,4.885659
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,7,Pie chart,0.36112562,35.0,5.11432
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,8,Pie chart,0.63946384,60.0,5.8914323
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,9,Pie chart,0.7642582,85.0,6.396361
