PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,0,Bar chart,3.5571165,40.0,5.1875653
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,1,Bar chart,0.4168841,10.0,3.260495
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,2,Bar chart,0.047367565,5.0,2.3081956
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,3,Bar chart,2.1686418,35.0,5.0370026
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,4,Bar chart,9.818059,95.0,6.4124756
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,5,Pie chart,5.179041,50.0,5.4861016
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,6,Pie chart,4.2363834,33.0,4.8461733
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,7,Pie chart,4.150613,45.0,5.3522425
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,8,Pie chart,2.6458766,20.0,4.1172066
p38b31b76-963c-496f-8c6c-9cbd9fe48c4b,9,Pie chart,7.9273915,70.0,5.955885
