PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p3d9c63be-d639-497f-8f26-b287bb664301,0,Bar chart,54.841053,60.0,2.3670766
p3d9c63be-d639-497f-8f26-b287bb664301,1,Bar chart,71.63352,70.0,0.70798594
p3d9c63be-d639-497f-8f26-b287bb664301,2,Bar chart,80.40861,85.0,2.198932
p3d9c63be-d639-497f-8f26-b287bb664301,3,Bar chart,83.29318,90.0,2.7456284
p3d9c63be-d639-497f-8f26-b287bb664301,4,Bar chart,64.73929,66.0,0.33423838
p3d9c63be-d639-497f-8f26-b287bb664301,5,Radial Chart,48.28026,40.0,3.0496757
p3d9c63be-d639-497f-8f26-b287bb664301,6,Radial Chart,33.642395,15.0,4.2205153
p3d9c63be-d639-497f-8f26-b287bb664301,7,Radial Chart,30.653027,10.0,4.3682814
p3d9c63be-d639-497f-8f26-b287bb664301,8,Radial Chart,76.64649,60.0,4.0571465
p3d9c63be-d639-497f-8f26-b287bb664301,9,Radial Chart,46.279015,25.0,4.4113593
p3d9c63be-d639-497f-8f26-b287bb664301,10,Bar chart,81.257935,85.0,1.9038347
p3d9c63be-d639-497f-8f26-b287bb664301,11,Bar chart,74.60165,80.0,2.4325194
p3d9c63be-d639-497f-8f26-b287bb664301,12,Bar chart,61.84188,65.0,1.6590656
p3d9c63be-d639-497f-8f26-b287bb664301,13,Bar chart,72.92811,75.0,1.0509486
p3d9c63be-d639-497f-8f26-b287bb664301,14,Bar chart,47.033646,48.0,0.0
p3d9c63be-d639-497f-8f26-b287bb664301,15,Bar chart,97.17504,99.0,0.86786395
p3d9c63be-d639-497f-8f26-b287bb664301,16,Bar chart,77.9497,80.0,1.0358354
p3d9c63be-d639-497f-8f26-b287bb664301,17,Bar chart,66.265495,72.0,2.5196688
p3d9c63be-d639-497f-8f26-b287bb664301,18,Bar chart,81.31541,89.0,2.941969
p3d9c63be-d639-497f-8f26-b287bb664301,19,Bar chart,68.22119,70.0,0.8309113
