PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p4f728999-bda1-4b44-9105-f00c0460a152,0,Bar chart,78.80601,123.0,5.4657784
p4f728999-bda1-4b44-9105-f00c0460a152,1,Bar chart,63.61013,123.0,5.8921447
p4f728999-bda1-4b44-9105-f00c0460a152,2,Bar chart,97.500626,123.0,4.67239
p4f728999-bda1-4b44-9105-f00c0460a152,3,Bar chart,95.5672,123.0,4.77783
p4f728999-bda1-4b44-9105-f00c0460a152,4,Bar chart,63.727455,123.0,5.8892922
p4f728999-bda1-4b44-9105-f00c0460a152,5,Radial Chart,47.927303,123.0,6.230216
p4f728999-bda1-4b44-9105-f00c0460a152,6,Radial Chart,94.90724,123.0,4.8121266
p4f728999-bda1-4b44-9105-f00c0460a152,7,Radial Chart,48.427956,123.0,6.220563
p4f728999-bda1-4b44-9105-f00c0460a152,8,Radial Chart,69.35944,123.0,5.7452526
p4f728999-bda1-4b44-9105-f00c0460a152,9,Radial Chart,60.08807,123.0,5.975262
p4f728999-bda1-4b44-9105-f00c0460a152,10,Bar chart,26.907074,123.0,6.5863585
p4f728999-bda1-4b44-9105-f00c0460a152,11,Bar chart,69.82713,123.0,5.7326183
p4f728999-bda1-4b44-9105-f00c0460a152,12,Bar chart,93.88701,123.0,4.863591
p4f728999-bda1-4b44-9105-f00c0460a152,13,Bar chart,99.542274,213.0,6.826011
p4f728999-bda1-4b44-9105-f00c0460a152,14,Bar chart,47.9167,123.0,6.23042
p4f728999-bda1-4b44-9105-f00c0460a152,15,Bar chart,74.05449,123.0,5.613105
p4f728999-bda1-4b44-9105-f00c0460a152,16,Bar chart,76.05623,123.0,5.552862
p4f728999-bda1-4b44-9105-f00c0460a152,17,Bar chart,29.350039,123.0,6.5492067
p4f728999-bda1-4b44-9105-f00c0460a152,18,Bar chart,49.374603,123.0,6.2021317
p4f728999-bda1-4b44-9105-f00c0460a152,19,Bar chart,50.198086,123.0,6.1859045
