PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,0,Bar chart,10.236603,20.0,3.2873833
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,1,Bar chart,69.767494,80.0,3.3550875
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,2,Bar chart,89.99902,90.0,-10.0
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,3,Bar chart,58.538418,65.0,2.6918874
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,4,Bar chart,72.08884,75.0,1.5415957
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,5,Pie chart,95.58104,80.0,3.9617195
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,6,Pie chart,33.093655,25.0,3.0167913
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,7,Pie chart,91.54158,75.0,4.048025
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,8,Pie chart,21.169785,20.0,0.22624283
p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,9,Pie chart,0.68933564,85.0,6.397643
