PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p73a31081-5607-4cf3-b3aa-82192eeacc9c,0,Bar chart,19.115265,20.0,-0.17668252
p73a31081-5607-4cf3-b3aa-82192eeacc9c,1,Bar chart,99.78731,100.0,-2.2331605
p73a31081-5607-4cf3-b3aa-82192eeacc9c,2,Bar chart,22.226091,20.0,1.1545129
p73a31081-5607-4cf3-b3aa-82192eeacc9c,3,Bar chart,18.050726,29.0,3.4527633
p73a31081-5607-4cf3-b3aa-82192eeacc9c,4,Bar chart,15.880592,15.0,-0.18345378
p73a31081-5607-4cf3-b3aa-82192eeacc9c,5,Pie chart,37.676296,40.0,1.2164261
p73a31081-5607-4cf3-b3aa-82192eeacc9c,6,Pie chart,51.519577,33.0,4.2109795
p73a31081-5607-4cf3-b3aa-82192eeacc9c,7,Pie chart,79.49307,75.0,2.1677024
p73a31081-5607-4cf3-b3aa-82192eeacc9c,8,Pie chart,53.410088,60.0,2.7202592
p73a31081-5607-4cf3-b3aa-82192eeacc9c,9,Pie chart,71.72573,85.0,3.7305605
