PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p84c1777f-cfbe-4c46-94d5-319a27abe658,0,Bar chart,90.14799,90.0,-2.756454
p84c1777f-cfbe-4c46-94d5-319a27abe658,1,Bar chart,4.6221924,5.0,-1.4042763
p84c1777f-cfbe-4c46-94d5-319a27abe658,2,Bar chart,31.723991,30.0,0.7857526
p84c1777f-cfbe-4c46-94d5-319a27abe658,3,Bar chart,73.97616,80.0,2.590684
p84c1777f-cfbe-4c46-94d5-319a27abe658,4,Bar chart,55.64276,60.0,2.1234143
p84c1777f-cfbe-4c46-94d5-319a27abe658,5,Pie chart,95.31128,75.0,4.344209
p84c1777f-cfbe-4c46-94d5-319a27abe658,6,Pie chart,40.89326,20.0,4.3849654
p84c1777f-cfbe-4c46-94d5-319a27abe658,7,Pie chart,58.999054,65.0,2.5851898
p84c1777f-cfbe-4c46-94d5-319a27abe658,8,Pie chart,1.8177692,1.0,-0.29023442
p84c1777f-cfbe-4c46-94d5-319a27abe658,9,Pie chart,83.3702,85.0,0.704694
