PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,0,Bar chart,0.69226474,75.0,6.2154408
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,1,Bar chart,0.68679297,70.0,6.1150584
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,2,Bar chart,0.9125033,85.0,6.39382
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,3,Bar chart,0.33324754,50.0,5.634208
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,4,Bar chart,0.62500566,65.0,6.0084286
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,5,Pie chart,0.87066936,85.0,6.394537
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,6,Pie chart,0.72866714,50.0,5.6226764
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,7,Pie chart,0.96954703,85.0,6.392841
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,8,Pie chart,0.5188061,45.0,5.475124
pb193e5f3-06d9-4361-9ef9-146478f0d4a1,9,Pie chart,0.81359047,85.0,6.3955154
