PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
pb2e552ad-591d-4b99-855d-b662b5c578b1,0,Bar chart,92.96286,95.0,1.026545
pb2e552ad-591d-4b99-855d-b662b5c578b1,1,Bar chart,58.545006,65.0,2.6904159
pb2e552ad-591d-4b99-855d-b662b5c578b1,2,Bar chart,64.24898,70.0,2.5238185
pb2e552ad-591d-4b99-855d-b662b5c578b1,3,Bar chart,57.93832,65.0,2.8200114
pb2e552ad-591d-4b99-855d-b662b5c578b1,4,Bar chart,2.8531332,10.0,2.837311
pb2e552ad-591d-4b99-855d-b662b5c578b1,5,Pie chart,81.20464,70.0,3.4860246
pb2e552ad-591d-4b99-855d-b662b5c578b1,6,Pie chart,76.53894,80.0,1.7912138
pb2e552ad-591d-4b99-855d-b662b5c578b1,7,Pie chart,4.48367,5.0,-0.9536353
pb2e552ad-591d-4b99-855d-b662b5c578b1,8,Pie chart,25.866344,20.0,2.5524619
pb2e552ad-591d-4b99-855d-b662b5c578b1,9,Pie chart,20.119524,15.0,2.3560095
