PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error,,PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error,,PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,0,Bar chart,0.6011817,60,5.892362,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,0,Bar chart,19.115265,20,0.17668252,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,5,Pie chart,37.676296,40,1.2164261
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,1,Bar chart,0.87580067,90,6.477745,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,1,Bar chart,99.78731,100,2.2331605,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,6,Pie chart,51.519577,33,4.2109795
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,2,Bar chart,0.5312918,50,5.628444,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,2,Bar chart,22.226091,20,1.1545129,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,7,Pie chart,79.49307,75,2.1677024
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,3,Bar chart,0.5124984,60,5.8945146,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,3,Bar chart,18.050726,29,3.4527633,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,8,Pie chart,53.410088,60,2.7202592
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,4,Bar chart,0.9641177,95,6.5551395,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,4,Bar chart,15.880592,15,0.18345378,,p73a31081-5607-4cf3-b3aa-82192eeacc9c,9,Pie chart,71.72573,85,3.7305605
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,5,Pie chart,0.46090153,50,5.6304955,,pb2e552ad-591d-4b99-855d-b662b5c578b1,0,Bar chart,92.96286,95,1.026545,,pb2e552ad-591d-4b99-855d-b662b5c578b1,5,Pie chart,81.20464,70,3.4860246
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,6,Pie chart,0.32274222,35,5.115918,,pb2e552ad-591d-4b99-855d-b662b5c578b1,1,Bar chart,58.545006,65,2.6904159,,pb2e552ad-591d-4b99-855d-b662b5c578b1,6,Pie chart,76.53894,80,1.7912138
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,7,Pie chart,0.8321042,70,6.112031,,pb2e552ad-591d-4b99-855d-b662b5c578b1,2,Bar chart,64.24898,70,2.5238185,,pb2e552ad-591d-4b99-855d-b662b5c578b1,7,Pie chart,4.48367,5,0.9536353
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,8,Pie chart,0.30623353,30,4.892088,,pb2e552ad-591d-4b99-855d-b662b5c578b1,3,Bar chart,57.93832,65,2.8200114,,pb2e552ad-591d-4b99-855d-b662b5c578b1,8,Pie chart,25.866344,20,2.5524619
pbd773d60-619d-4ff0-9c68-2cbfee43ae98,9,Pie chart,0.24607764,15,3.8830266,,pb2e552ad-591d-4b99-855d-b662b5c578b1,4,Bar chart,2.8531332,10,2.837311,,pb2e552ad-591d-4b99-855d-b662b5c578b1,9,Pie chart,20.119524,15,2.3560095
