PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,0,Bar chart,81.21176,80.0,0.27710575
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,1,Bar chart,78.28764,78.0,0.0
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,2,Bar chart,59.91109,60.0,0.0
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,3,Bar chart,92.595,85.0,2.9250503
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,4,Bar chart,92.54938,90.0,1.350145
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,5,Radial Chart,78.883446,75.0,1.9573373
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,6,Radial Chart,51.261192,15.0,5.1803546
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,7,Radial Chart,90.7479,85.0,2.5230353
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,8,Radial Chart,49.90966,40.0,3.3088355
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,9,Radial Chart,47.586136,30.0,4.136367
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,10,Bar chart,91.13392,87.0,2.0475101
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,11,Bar chart,87.09807,88.0,0.0
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,12,Bar chart,30.41844,30.0,0.0
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,13,Bar chart,98.026184,95.0,1.5974997
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,14,Bar chart,49.796547,53.0,1.6796278
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,15,Bar chart,45.825752,47.0,0.23173682
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,16,Bar chart,90.735504,87.0,1.9013029
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,17,Bar chart,65.50213,77.0,3.5232952
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,18,Bar chart,85.8423,87.0,0.21126093
pc89ffe3b-8fb9-4b3c-a209-3cb8a8e1a01c,19,Bar chart,66.515854,75.0,3.0847695
