PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,0,Bar chart,78.79254,75.0,1.9231651
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,1,Bar chart,69.33252,70.0,0.0
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,2,Bar chart,45.58777,47.0,0.49797654
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,3,Bar chart,48.616734,49.0,0.0
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,4,Bar chart,67.922745,63.0,2.2994628
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,5,Radial Chart,50.313717,48.0,1.2102123
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,6,Radial Chart,67.990654,66.0,0.99324244
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,7,Radial Chart,81.419655,60.0,4.420863
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,8,Radial Chart,54.395844,33.0,4.4192586
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,9,Radial Chart,76.36651,60.0,4.032675
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,10,Bar chart,88.86945,90.0,0.17702042
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,11,Bar chart,98.9475,98.0,0.0
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,12,Bar chart,84.09576,80.0,2.0341299
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,13,Bar chart,89.76597,80.0,3.287763
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,14,Bar chart,62.038868,60.0,1.0277684
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,15,Bar chart,44.822838,45.0,0.0
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,16,Bar chart,75.62764,75.0,0.0
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,17,Bar chart,39.10615,40.0,0.0
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,18,Bar chart,70.964966,70.0,0.0
pf52f9039-436c-4ed9-afa8-b10e88fa85ad,19,Bar chart,47.845085,48.0,0.0
