PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
pf9f114e8-3b20-4635-885f-89ed75245b36,0,Bar chart,0.32898328,40.0,5.3100133
pf9f114e8-3b20-4635-885f-89ed75245b36,1,Bar chart,0.41254807,50.0,5.631903
pf9f114e8-3b20-4635-885f-89ed75245b36,2,Bar chart,0.12907498,20.0,4.3125873
pf9f114e8-3b20-4635-885f-89ed75245b36,3,Bar chart,0.64268017,70.0,6.1159763
pf9f114e8-3b20-4635-885f-89ed75245b36,4,Bar chart,0.7535558,75.0,6.2142496
pf9f114e8-3b20-4635-885f-89ed75245b36,5,Pie chart,0.9082838,85.0,6.393892
pf9f114e8-3b20-4635-885f-89ed75245b36,6,Pie chart,0.95293754,90.0,6.4764957
pf9f114e8-3b20-4635-885f-89ed75245b36,7,Pie chart,0.38684502,33.0,5.027382
pf9f114e8-3b20-4635-885f-89ed75245b36,8,Pie chart,0.40834537,40.0,5.3071246
pf9f114e8-3b20-4635-885f-89ed75245b36,9,Pie chart,0.33072436,60.0,5.8989162
